locationId,name,area,type,latitude,longitude
1,Great Hall,Main Campus,ADMINISTRATIVE,5.6502,-0.1869
2,Balme Library,Main Campus,LIBRARY,5.6510,-0.1875
3,UGCS,North Campus,ACADEMIC,5.6530,-0.1860
4,Department of Computer Science,North Campus,ACADEMIC,5.6534,-0.1855
5,School of Physical Sciences,North Campus,ACADEMIC,5.6538,-0.1848
6,School of Business,Main Campus,ACADEMIC,5.6495,-0.1880
7,Commonwealth Hall,Main Campus,RESIDENTIAL,5.6550,-0.1885
8,Legon Hall,Main Campus,RESIDENTIAL,5.6540,-0.1900
9,Volta Hall,Main Campus,RESIDENTIAL,5.6525,-0.1908
10,Akuafo Hall,Main Campus,RESIDENTIAL,5.6515,-0.1915
11,Mensah Sarbah Hall,Main Campus,RESIDENTIAL,5.6500,-0.1920
12,Elizabeth Frances Sey Hall,Main Campus,RESIDENTIAL,5.6560,-0.1905
13,UG Medical Centre,Main Campus,HEALTHCARE,5.6490,-0.1840
14,University Hospital,Main Campus,HEALTHCARE,5.6485,-0.1835
15,University Basic School,Main Campus,EDUCATION,5.6475,-0.1870
16,School of Law,Main Campus,ACADEMIC,5.6505,-0.1890
17,School of Engineering Sciences,North Campus,ACADEMIC,5.6545,-0.1835
18,School of Agriculture,North Campus,ACADEMIC,5.6565,-0.1840
19,Department of Geography,North Campus,ACADEMIC,5.6570,-0.1850
20,UG Business School,Main Campus,ACADEMIC,5.6488,-0.1888
21,School of Social Sciences,Main Campus,ACADEMIC,5.6498,-0.1900
22,School of Languages,Main Campus,ACADEMIC,5.6520,-0.1885
23,School of Performing Arts,Main Campus,ACADEMIC,5.6530,-0.1895
24,School of Communication Studies,Main Campus,ACADEMIC,5.6540,-0.1870
25,Department of Statistics,North Campus,ACADEMIC,5.6550,-0.1860
26,Department of Mathematics,North Campus,ACADEMIC,5.6555,-0.1850
27,Department of Physics,North Campus,ACADEMIC,5.6560,-0.1830
28,Department of Chemistry,North Campus,ACADEMIC,5.6565,-0.1825
29,Department of Animal Science,North Campus,ACADEMIC,5.6580,-0.1845
30,Department of Crop Science,North Campus,ACADEMIC,5.6585,-0.1835
31,UG Sports Stadium,Main Campus,SPORTS,5.6465,-0.1900
32,UG Swimming Pool,Main Campus,SPORTS,5.6470,-0.1910
33,UG Sports Directorate,Main Campus,ADMINISTRATIVE,5.6475,-0.1905
34,UG Guest Centre,Main Campus,HOSPITALITY,5.6480,-0.1920
35,UG Staff Village,Main Campus,RESIDENTIAL,5.6460,-0.1875
36,International Students Hostel,Main Campus,RESIDENTIAL,5.6565,-0.1915
37,Valco Trust Hostel,Main Campus,RESIDENTIAL,5.6570,-0.1920
38,TF Hostel,Main Campus,RESIDENTIAL,5.6580,-0.1910
39,Akuafo Annex,Main Campus,RESIDENTIAL,5.6590,-0.1900
40,UG Basic School Annex,Main Campus,EDUCATION,5.6470,-0.1860
41,University Farm,North Campus,AGRICULTURAL,5.6600,-0.1830
42,UG Botanical Garden,North Campus,RECREATIONAL,5.6605,-0.1850
43,UG Main Gate,Main Campus,TRANSPORT,5.6445,-0.1870
44,Okponglo Gate,East Campus,TRANSPORT,5.6480,-0.1800
45,North Gate,North Campus,TRANSPORT,5.6600,-0.1810
46,Achimota Gate,West Campus,TRANSPORT,5.6520,-0.1950
47,UG Post Office,Main Campus,SERVICE,5.6490,-0.1870
48,UG Security Centre,Main Campus,SECURITY,5.6500,-0.1850
49,UG Maintenance Centre,Main Campus,SERVICE,5.6480,-0.1855
50,UG Power House,Main Campus,UTILITY,5.6475,-0.1845
