requestId,locationId,serviceType,priority,status,reportedAt
1,1,Maintenance,HIGH,OPEN,2026-08-01T08:15:00
2,2,Cleaning,MEDIUM,OPEN,2026-08-01T09:20:00
3,3,Security,HIGH,ASSIGNED,2026-08-01T10:05:00
4,4,Electrical,HIGH,OPEN,2026-08-01T10:40:00
5,5,Plumbing,MEDIUM,RESOLVED,2026-08-01T11:15:00
6,6,Maintenance,LOW,OPEN,2026-08-01T11:50:00
7,7,Cleaning,MEDIUM,ASSIGNED,2026-08-01T12:10:00
8,8,Security,HIGH,OPEN,2026-08-01T12:45:00
9,9,Electrical,HIGH,OPEN,2026-08-01T13:20:00
10,10,Plumbing,MEDIUM,RESOLVED,2026-08-01T14:00:00
11,11,Maintenance,LOW,OPEN,2026-08-02T08:30:00
12,12,Cleaning,MEDIUM,OPEN,2026-08-02T09:10:00
13,13,Security,HIGH,ASSIGNED,2026-08-02T09:45:00
14,14,Electrical,HIGH,OPEN,2026-08-02T10:25:00
15,15,Plumbing,MEDIUM,OPEN,2026-08-02T11:00:00
16,16,Maintenance,HIGH,OPEN,2026-08-02T11:40:00
17,17,Cleaning,LOW,RESOLVED,2026-08-02T12:15:00
18,18,Security,HIGH,OPEN,2026-08-02T13:05:00
19,19,Electrical,MEDIUM,ASSIGNED,2026-08-02T13:45:00
20,20,Plumbing,HIGH,OPEN,2026-08-02T14:20:00
21,21,Maintenance,MEDIUM,OPEN,2026-08-03T08:10:00
22,22,Cleaning,LOW,OPEN,2026-08-03T08:50:00
23,23,Security,HIGH,OPEN,2026-08-03T09:30:00
24,24,Electrical,MEDIUM,RESOLVED,2026-08-03T10:10:00
25,25,Plumbing,HIGH,ASSIGNED,2026-08-03T10:55:00
26,26,Maintenance,HIGH,OPEN,2026-08-03T11:35:00
27,27,Cleaning,MEDIUM,OPEN,2026-08-03T12:20:00
28,28,Security,HIGH,OPEN,2026-08-03T13:00:00
29,29,Electrical,LOW,RESOLVED,2026-08-03T13:40:00
30,30,Plumbing,MEDIUM,OPEN,2026-08-03T14:15:00
